objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Magic Maze","209778","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248842","6.87345","7.04044","1.7509","521","24986","thing","Magic Maze","1","8","15","15","15","2017","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Magic Maze: Alarmstufe Rot","230359","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64951643","5.99086","7.57736","2.4","0","3702","thing","Magic Maze: Maximum Security","1","8","24","24","1","2017","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","expansion","","Pegasus Spiele","German","2017","Pegasus German edition"
"Magic: The Gathering","463","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248545","7.36012","7.52588","3.22","158","36532","thing","Magic: The Gathering","2","2","20","20","20","1993","2","2","12+","Unplayable in another language","","","","","","standalone","","","","",""
"Die Magier","1012","0","","0","1","0","0","0","0","0","0","0","3","","","","","","66840593","5.51526","5.73137","1.9","14899","540","thing","Die Magier","3","3","60","60","60","1985","3","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Majesty: deine Krone, dein Königreich","230080","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247798","6.61771","6.98007","1.7206","855","6830","thing","Majesty: For the Realm","2","4","40","40","20","2017","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Make 'n' Break Extreme","30706","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74949187","5.55128","5.86124","0","10014","613","thing","Make 'n' Break Extreme","2","4","30","30","30","2007","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Mascarade","139030","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64390269","6.41501","6.60801","0","1195","14582","thing","Mascarade","2","13","30","30","30","2018","4,5,6,7,8,9,10,11,12","6,7,8","10+","No necessary in-game text","","","","","","standalone","","Repos Production","Dutch; German; Romanian","2018","Dutch/German/Romanian edition"
"Menara","244608","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248847","6.6495","7.46506","1.6","807","4036","thing","Menara","1","4","60","60","10","2018","1,2,3,4","2,3","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Menara: Rituals & Ruins","286655","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","73310332","5.67789","7.70302","2","0","804","thing","Menara: Rituals & Ruins","1","4","90","90","45","2019","1,2,3,4","2","","No necessary in-game text","","","","","","expansion","","","","",""
"Monopoly","1406","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249248","4.31475","4.3807","1.6406","20967","41586","thing","Monopoly","2","8","180","180","60","1933","3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Monopoly Deal","164840","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249628","5.76752","6.31924","0","4070","2702","thing","Monopoly Deal","2","3","15","15","15","2014","2,3","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Monster Expedition","313698","0","","0","1","0","0","0","0","0","0","0","3","","","","","","80114161","5.78691","7.01399","2.0938","3882","840","thing","Monster Expedition","1","4","30","30","30","2020","1,2,3,4","1,2,3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"More Game of Quotes: Neue Verrückte Zitate","269982","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249232","0","6.66207","2","0","99","thing","More Game of Quotes: Neue Verrückte Zitate","3","6","25","25","25","2019","","","","","","","","","","standalone","","","","",""
"Müller & Sohn","6874","0","","0","1","0","0","0","0","0","0","0","3","","","","","","66840573","5.49109","5.184","1","18355","278","thing","Müller & Sohn","4","6","45","45","45","1985","3,4","3,4","10+","Unplayable in another language","","","","","","standalone","","","","",""
"Munchkin","1927","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248088","5.72578","5.89917","1.8015","4550","75961","thing","Munchkin","3","6","120","120","60","2001","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Munchkin 2: Unnatural Axe","3943","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248096","6.13856","6.43621","1.7995","0","17541","thing","Munchkin 2: Unnatural Axe","3","6","90","90","90","2002","3,4,5,6","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Munchkin 3+4","193282","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248102","5.52301","6.95588","2","0","195","thing","Munchkin 3+4","3","6","90","90","60","2016","","","","","","","","","","expansion","","","","",""
"Munchkin 5+6","193283","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248109","0","7.18421","0","0","137","thing","Munchkin 5+6","3","6","90","90","60","2016","","","","","","","","","","standalone","","","","",""
"Munchkin 7+8","193285","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248116","0","7.41379","0","0","133","thing","Munchkin 7+8","3","6","90","90","60","2016","","","","","","","","","","standalone","","","","",""
"Munchkin Apokalypse 1+2","193288","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248015","0","8.28571","2","0","46","thing","Munchkin Apokalypse 1+2","3","6","90","90","60","2016","","","","","","","","","","standalone","","","","",""
"Munchkin Axe Cop","94915","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248293","5.57857","6.12937","0","8208","1264","thing","Munchkin Axe Cop","3","6","120","120","60","2011","2,3,4,5,6","3,4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Munchkin Bites!","12194","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248245","5.73955","5.99485","1.7525","4378","6785","thing","Munchkin Bites!","3","6","90","90","90","2004","3,4,5,6","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Munchkin Bites! 2: Pants Macabre","18898","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248251","5.73334","6.38698","2.0635","0","2131","thing","Munchkin Bites! 2: Pants Macabre","3","6","90","90","90","2005","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Munchkin Christmas Light","181268","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248148","5.58163","6.66893","1.3333","8045","693","thing","Munchkin Christmas Lite","3","4","60","60","60","2015","","","","","","","","","","standalone","","","","",""
"Munchkin Cthulhu 1+2","25071","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248059","5.93128","6.20657","1.7066","2817","11154","thing","Munchkin Cthulhu","3","6","90","90","90","2007","3,4,5,6","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Munchkin Freibeuter 1+2","31920","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248003","5.83444","6.24077","1.9535","3456","4948","thing","Munchkin Booty","3","6","90","90","90","2008","3,4,5,6","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Munchkin Fu (1+2)","190530","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248183","0","6.26364","2","0","113","thing","Munchkin Fu (1+2)","3","6","90","90","60","2010","","","","","","","","","","standalone","","","","",""
"Munchkin Legenden 1+2","193286","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248171","0","8","0","0","40","thing","Munchkin Legenden 1+2","3","6","90","90","60","2016","","","","","","","","","","standalone","","","","",""
"Munchkin Pathfinder","129359","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248261","5.73811","6.34117","1.6154","4398","3107","thing","Munchkin Pathfinder","3","6","90","90","60","2013","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Munchkin Quest: Big Box","261221","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248885","0","6.9","0","0","63","thing","Munchkin Quest: Big Box","2","4","180","180","180","2019","","","","","","","","","","standalone","","","","",""
"Munchkin Shakespeare: Limited Engagement","231825","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248222","5.5437","7.75","2","0","406","thing","Munchkin Shakespeare: Limited Engagement","3","6","60","0","60","2017","3,4,5,6","4","","","","","","","","expansion","","","","",""
"Munchkin Starfinder","237991","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248274","0","6.518","2","0","193","thing","Munchkin Starfinder","3","6","120","120","60","2018","4,5","4","10+","","","","","","","standalone","","","","",""
"Munchkin Steampunk","164031","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248188","5.66991","6.58763","1.8333","5369","1423","thing","Munchkin Steampunk","3","6","90","90","60","2015","2,3,4,5","4","12+","","","","","","","standalone","","","","",""
"Munchkin Warhammer 40,000","257700","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248198","5.56141","6.81728","2","9243","600","thing","Munchkin Warhammer 40,000","3","6","90","90","60","2019","3,4","4","","","","","","","","standalone","","","","",""
"Munchkin Warhammer 40,000: Faith and Firepower","260918","0","","0","1","0","0","0","0","0","0","0","3","","","","","","76992691","0","7.47368","0","0","165","thing","Munchkin Warhammer 40,000: Faith and Firepower","3","6","0","0","0","2019","","","","","","","","","","expansion","","","","",""
"Munchkin Warhammer 40,000: Savagery and Sorcery","263164","0","","0","1","0","0","0","0","0","0","0","3","","","","","","77751688","0","7.75","0","0","133","thing","Munchkin Warhammer 40,000: Savagery and Sorcery","3","6","120","120","60","2019","","","","","","","","","","expansion","","","","",""
"Munchkin Wonderland","212610","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64247742","5.51207","5.96038","1.3333","15425","269","thing","Munchkin Wonderland","2","6","60","60","60","2016","3,4,5","","6+","","","","","","","standalone","","","","",""
"Munchkin Zombies 1+2","86955","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248024","5.89233","6.22001","1.9423","3036","9078","thing","Munchkin Zombies","3","6","90","90","90","2013","3,4,5,6","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Pegasus Spiele","German","2013","German second edition"
"Munchkin Zombies 4: Verschleißteile","151982","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248043","5.57761","6.8646","2.3333","0","676","thing","Munchkin Zombies 4: Spare Parts","3","6","90","90","90","2014","","","8+","","","","","","","expansion","","Pegasus Spiele","German","2014","German edition"
"Munchkin: Grimme Mären","208256","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248157","5.59377","6.98572","2","7506","658","thing","Munchkin Grimm Tidings","3","4","60","60","60","2016","3,4","3,4","8+","","","","","","","standalone","","","","",""
"Munchkin: Quirlige Köche","258610","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248163","0","7.45833","0","0","94","thing","Munchkin Crazy Cooks","3","6","0","0","0","2018","","","","","","","","","","standalone","","","","",""
"My Village","172381","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64390196","6.38648","6.95918","3.0978","1252","4997","thing","My Village","2","4","90","90","60","2015","2,3","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Mysterium","181304","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248854","7.15795","7.29642","1.9066","270","51345","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Mysterium: Lügen & Geheimnisse","216465","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248875","6.58355","7.94759","1.6923","0","6325","thing","Mysterium: Secrets & Lies","2","7","42","42","42","2017","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Mysterium: Verborgene Zeichen","192661","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248860","6.86358","7.81315","0","0","10174","thing","Mysterium: Hidden Signs","2","7","42","42","42","2016","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Mystic Vale","194607","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247322","6.99445","7.28893","2.2481","405","13953","thing","Mystic Vale","2","4","45","45","45","2016","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Mythos Tales","126100","0","","0","1","0","0","0","0","0","0","0","3","","","","","","66618810","6.50745","7.42797","2.2143","1036","4837","thing","Mythos Tales","1","10","120","120","60","2016","1,2,3,4","2,3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Nightfall","88408","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247847","6.18314","6.49796","0","1803","5342","thing","Nightfall","2","5","45","45","45","2011","2,3,4,5","","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Nightfall: Ausnahmezustand","160674","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247866","5.53119","6.95882","3.3333","0","190","thing","Nightfall: Ausnahmezustand","2","5","45","45","45","2011","","","","","","","","","","expansion","","","","",""
"Nightfall: Blutzoll","101711","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247859","5.87491","7.35404","2.7","0","1655","thing","Nightfall: Blood Country","2","5","45","45","45","2011","2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"No Thanks!","12942","0","","0","1","0","0","0","0","0","0","0","3","","","","","","73310182","6.93242","7.05075","1.1397","463","28598","thing","No Thanks!","3","7","20","20","20","2004","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Nobody Is Perfect","8829","0","","0","1","0","0","0","0","0","0","0","3","","","","","","66340380","5.96312","6.8679","1.5882","2658","1536","thing","Nobody Is Perfect","3","10","45","45","45","1992","4,5,6,7,8,9","5,6","14+","Unplayable in another language","","","","","","standalone","","","","",""
"Noch mal!: Zusatzblockset","250282","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74200339","5.65262","7.179","0","0","748","thing","Noch mal!: Zusatzblockset","1","6","20","20","20","2018","1,2,3,4,5,6","2","8+","No necessary in-game text","","","","","","expansion","","","","",""
"None of a Kind","91430","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","67033784","5.55301","5.93682","1.2667","9853","468","thing","None of a Kind","2","6","20","20","20","2011","2,3,4,5,6","5","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Oceanos","192860","0","","0","1","0","0","0","0","0","0","0","3","","","","","","69732717","6.35954","6.85753","0","1312","5107","thing","Oceanos","2","5","45","45","30","2016","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"OctoDice","180231","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64249517","5.89711","6.49618","1.8966","2999","1813","thing","OctoDice","1","4","30","30","20","2015","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"oddball Äeronauts","142687","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248931","5.59076","5.8829","0","7645","1547","thing","oddball Äeronauts","2","2","20","20","15","2014","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Outlive","191051","0","","0","1","0","0","0","0","0","0","0","3","","","","","","73310038","6.73406","7.36118","0","684","6368","thing","Outlive","2","4","110","110","40","2017","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Pandemic: Rapid Response","280789","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74348819","6.12312","6.68651","2.2333","1982","5352","thing","Pandemic: Rapid Response","2","4","20","20","20","2019","2,3,4","","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Pandemic: Schreckensherrschaft des Cthulhu","192153","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","65816458","7.01473","7.40386","2.1795","386","14936","thing","Pandemic: Reign of Cthulhu","2","4","40","40","40","2016","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Asmodee; Z-Man Games, Inc.","German","2016","German edition"
"Pandemie","30549","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","64249087","7.49882","7.60001","2.4084","104","160951","thing","Pandemic","2","4","45","45","45","2016","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Z-Man Games, Inc.","German","2016","German fourth edition"
"Pandemie: Auf Messers Schneide","40849","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","64249109","7.79474","8.06946","2.6513","0","44645","thing","Pandemic: On the Brink","2","5","45","45","45","2009","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Pandemie: Ausnahmezustand","168703","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249095","6.46722","7.62141","0","0","7579","thing","Pandemic: State of Emergency","2","4","45","45","45","2015","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Pandemie: Die Heilung","150658","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","66840539","7.02095","7.29649","2.059","381","15039","thing","Pandemic: The Cure","2","5","30","30","30","2014","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Pandemie: Die Seuche","157789","7","3","0","1","0","0","0","0","0","0","0","3","","","","","","64249090","6.09891","6.43407","0","2066","7163","thing","Pandemic: Contagion","2","5","30","30","30","2014","3,4,5","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Pandemie: Im Labor","137136","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249100","7.2405","7.89951","2.8707","0","17514","thing","Pandemic: In the Lab","1","6","60","60","45","2013","1,2,3,4,5,6","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Panic Island!","230968","0","","0","1","0","0","0","0","0","0","0","3","","","","","","80114176","5.60444","6.63051","1","7055","370","thing","Panic Island!","1","8","2","2","2","2017","2,4","2,4","","","","","","","","standalone","","","","",""
"Panic Lab","121073","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64249553","5.79773","6.14274","1.3214","3771","2895","thing","Panic Lab","2","10","30","30","10","2012","2,3,4,5,6,7,8,9,10","4,5,6","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Papyros","152018","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247562","0","3.88889","0","0","21","thing","Papyros","2","4","45","45","45","2013","","","","","","","","","","standalone","","","","",""
"Pathfinder Abenteuerkartenspiel: Das Erwachen der Runenherrscher – Grundbox","133038","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247295","6.93296","7.20002","2.7127","462","18311","thing","Pathfinder Adventure Card Game: Rise of the Runelords – Base Set","1","4","90","90","90","2013","1,2,3,4","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Pechvogel","257074","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249286","5.48121","5.30349","0","19215","387","thing","Pechvogel","2","5","20","20","20","2018","2,3,4","4","","","","","","","","standalone","","","","",""
"Phase 10 Masters Edition","22664","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249532","5.53219","5.71725","1.375","12235","1143","thing","Phase 10 Masters Edition","2","6","120","120","120","2001","3,4,5,6","","","No necessary in-game text","","","","","","standalone","","","","",""
"Piraten Fluxx","73538","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249601","5.86016","6.17562","0","3259","6263","thing","Pirate Fluxx","2","6","40","40","10","2011","2,3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Piraten kapern","117663","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","66988102","5.84845","6.30794","1.0833","3353","2292","thing","Piraten kapern","2","5","30","30","30","2012","2,3,4,5","3","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Planet","252929","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","73309702","6.34046","6.74989","1.6164","1353","6197","thing","Planet","2","4","45","45","30","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Pop-Up Pirate!","9004","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","66340412","5.29642","4.6438","0","20868","792","thing","Pop-Up Pirate!","2","4","20","20","20","1975","2,3,4","2,3,4","2–6","No necessary in-game text","","","","","","standalone","","","","",""
"Princess Legend","186475","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64390276","5.63945","6.30581","1.5556","6023","727","thing","Tofu Kingdom","3","8","30","30","10","2015","5,6,7,8","7,8","10+","No necessary in-game text","","","2018","2188","","standalone","","","","",""
"Privacy 2","38062","0","","0","1","0","0","0","0","0","0","0","3","","","","","","66340397","5.58487","6.42542","0","7894","336","thing","Privacy 2","5","12","45","45","45","2008","6,7,8,9,10,11,12","12","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Privacy Quickie","181866","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248300","5.53142","6.9113","1","12348","142","thing","Privacy Quickie","5","10","35","35","35","2015","","","","Unplayable in another language","","","","","","standalone","","","","",""
"Privacy: Scharf wie Chili","83492","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249241","5.57897","6.6675","1.3333","0","303","thing","Privacy: Scharf wie Chili","5","12","60","60","60","2010","4,5,6,7,8,9,10,11,12","8","18+","Unplayable in another language","","","","","","expansion","","","","",""
"The Quest for El Dorado","217372","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74348811","7.36734","7.61839","1.924","154","21412","thing","The Quest for El Dorado","2","4","60","60","30","2017","2,3,4","2,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"The Quest for El Dorado: Heroes & Hexes","246431","0","","0","1","0","0","0","0","0","0","0","3","","","","","","73309945","6.20179","7.68793","2.0769","0","3331","thing","The Quest for El Dorado: Heroes & Hexes","2","4","60","60","30","2018","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"The Quest for El Dorado: The Golden Temples","271615","0","","0","1","0","0","0","0","0","0","0","3","","","","","","73309928","6.18471","7.82205","0","1795","2112","thing","The Quest for El Dorado: The Golden Temples","2","4","60","60","30","2019","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Race for the Galaxy","28143","0","","0","1","0","0","0","0","0","0","0","3","","","","","","73309783","7.65488","7.76046","2.9855","68","57882","thing","Race for the Galaxy","2","4","60","60","30","2007","2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Rage","568","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249158","5.82052","6.16475","1.4685","3572","4178","thing","Rage","2","10","45","45","45","1983","3,4,5,6,7,8","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Relic","128442","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64248958","6.24957","6.77784","0","1581","5904","thing","Relic","2","4","180","180","180","2013","2,3,4","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Reworld","225163","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64390187","5.82874","6.70191","2.575","3498","1461","thing","Reworld","2","4","90","90","50","2017","2,3,4","","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Risiko","181","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64246896","5.46031","5.59217","2.0812","20092","48433","thing","Risk","2","6","120","120","120","1959","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Risiko: Der Herr der Ringe","4324","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","66568497","5.73721","5.89981","2.2799","4405","9290","thing","Risk: The Lord of the Rings","2","4","120","120","120","2016","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Hasbro; Winning Moves Germany","German","2016","German second edition"
"Robinson Crusoe: Adventures on the Cursed Island","121921","0","","0","1","0","0","0","0","0","0","0","3","","","","","","75382928","7.6633","7.83252","3.7883","63","55406","thing","Robinson Crusoe: Adventures on the Cursed Island","1","4","120","120","60","2012","1,2,3,4","","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Rock the Bock","244704","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","67852123","5.50744","5.89333","0","16178","58","thing","Rock the Bock","2","4","15","15","15","2018","","","","","","","","","","standalone","","","","",""
"Roll for Adventure","255683","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64248805","5.9169","6.84092","0","2900","1592","thing","Roll for Adventure","2","4","30","30","30","2018","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Roll for the Galaxy","132531","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","71093205","7.51703","7.662","2.7737","99","33116","thing","Roll for the Galaxy","2","5","45","45","45","2014","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Roll for the Galaxy: Ambition","175754","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74948323","7.24012","8.12347","2.7879","0","10574","thing","Roll for the Galaxy: Ambition","2","5","60","60","30","2015","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Roll Player","169426","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","79641300","7.28492","7.52202","2.4086","195","21613","thing","Roll Player","1","4","90","90","60","2016","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Roll Player: Monsters & Minions","213360","0","","0","1","0","0","0","0","0","0","0","3","","","","","","81235317","7.19381","8.1012","2.6875","0","10853","thing","Roll Player: Monsters & Minions","1","5","120","120","60","2018","1,2,3,4,5","","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Roller Coaster Hippo","4587","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74200483","5.37648","4.67383","1.2083","20767","727","thing","Roller Coaster Hippo","3","6","60","60","60","1988","3,4,5,6","4,5,6","8+","Unplayable in another language","","","","","","standalone","","","","",""
"Rummy","15878","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247592","5.62087","5.78726","1.4091","6534","1634","thing","Rummy","2","6","60","60","60","1887","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Runebound (Third Edition)","181530","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","64390166","6.93308","7.49213","0","461","9036","thing","Runebound (Third Edition)","2","4","180","180","120","2015","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"S.O.S. Affenalarm","12826","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","66988096","5.4618","5.4702","0","20047","1040","thing","Tumblin' Monkeys","2","4","15","15","15","1999","2,3,4","3,4","3+","No necessary in-game text","","","","","","standalone","","","","",""
"Säbel & Schädel","262525","0","","0","1","0","0","0","0","0","0","0","3","","","","","","70306942","0","5.1","0","0","42","thing","Säbel & Schädel","2","5","10","10","10","2018","","","","","","","","","","standalone","","","","",""
"Saboteur","9220","0","","0","1","0","0","0","0","0","0","0","3","","","","","","69636759","6.4565","6.57036","1.3256","1120","42490","thing","Saboteur","3","10","30","30","30","2004","5,6,7,8,9,10","7,8","8+","No necessary in-game text","","","","","","standalone","","","","",""
